"Name","GPS","DateTime","NO2","O3_1hr","O3_4hr","O3_8hr","CO","PM10 1 hr","PM2.5 1 hr","PM10","PM2.5","AQI_CO","AQI_NO2","AQI_O3_1hr","AQI_O3_4hr","AQI_O3_8hr","AQI_PM10","AQI_PM2.5","AQI_Site","Date","Time"
"Civic","(-35.285399, 149.131536)","31/07/2022 01:00:00 AM",,"0.009","0.006","0.008",,"12.1","12.3","9.8","6.3",,,"9","8","12","20","25","25","31 July 2022","01:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 01:00:00 AM","0.02","0.005","0.006","0.009","0.86","60.5","55.7","18.4","15.4","10","25","5","7","13","37","62","62","31 July 2022","01:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 12:00:00 AM","0.017","0.003","0.002","0.007","0.9","54.2","56.1","20.1","20.4","10","21","3","3",,"40","82","82","31 July 2022","00:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 12:00:00 AM","0.022","0.005","0.006","0.012","0.73","49.5","47.4","16.3","13.6","8","28","5","8","18","33","54","54","31 July 2022","00:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 12:00:00 AM",,"0.006","0.005","0.01",,"20.8","13.5","9.3","5.9",,,"6","6","15","19","24","24","31 July 2022","00:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 11:00:00 PM","0.023","0.006","0.007","0.013","0.65","51.2","43.2","14.6","11.9","7","29","6","9","20","29","47","47","30 July 2022","23:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 11:00:00 PM",,"0.005","0.005","0.01",,"22.4","11","8.8","5.6",,,"5","6","16","18","22","22","30 July 2022","23:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 11:00:00 PM","0.019","0.002","0.003","0.007","0.82","48.5","46.4","18.8","19.1","9","24","2","3",,"38","76","76","30 July 2022","23:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 10:00:00 PM","0.021","0.002","0.003","0.011","0.64","38.5","45.6","17.6","17.9","7","26","2","3",,"35","72","72","30 July 2022","22:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 10:00:00 PM",,"0.004","0.005","0.013",,"16.9","10.4","8.5","5.5",,,"4","6","21","17","22","22","30 July 2022","22:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 10:00:00 PM","0.026","0.007","0.007","0.017","0.51","43.2","39.1","12.7","10.4","6","33","7","9","26","25","42","42","30 July 2022","22:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 09:00:00 PM","0.026","0.007","0.012","0.02","0.39","32.9","29","11.1","9.1","4","33","7","15","31","22","37","37","30 July 2022","21:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 09:00:00 PM","0.022","0.002","0.005","0.015","0.47","27.1","35.3","16.7","16.5","5","28","2","7",,"33","66","66","30 July 2022","21:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 09:00:00 PM",,"0.004","0.009","0.016",,"22.2","11","8.6","5.3",,,"4","11","25","17","21","25","30 July 2022","21:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 08:00:00 PM","0.022","0.004","0.012","0.019","0.32","15.7","21.3","16.1","15.3","4","28","4","14",,"32","61","61","30 July 2022","20:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 08:00:00 PM","0.026","0.008","0.018","0.024","0.29","31.6","22.2","10","7.9","3","33","8","22","37","20","32","37","30 July 2022","20:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 08:00:00 PM",,"0.005","0.015","0.019",,"26.1","11.6","8.3","5.1",,,"5","18","29","17","20","29","30 July 2022","20:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 07:00:00 PM","0.022","0.002","0.014","0.022","0.21","9.4","12","15.9","15","2","28","2","18",,"32","60","60","30 July 2022","19:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 07:00:00 PM","0.028","0.007","0.021","0.027","0.22","17.1","10","9","7.3","2","35","7","26","41","18","29","41","30 July 2022","19:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 07:00:00 PM",,"0.007","0.018","0.021",,"16.9","6","7.7","4.9",,,"7","23","33","15","19","33","30 July 2022","19:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 06:00:00 PM","0.014","0.013","0.023","0.025","0.17","4.4","11.4","15.8","14.8","2","18","13","29",,"32","59","59","30 July 2022","18:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 06:00:00 PM","0.008","0.025","0.03","0.029","0.15","2.8","1.5","8.7","7.3","2","10","25","37","45","17","29","45","30 July 2022","18:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 06:00:00 PM",,"0.02","0.025","0.023",,"8.9","4.3","7.6","4.8",,,"20","31","35","15","19","35","30 July 2022","18:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 05:00:00 PM",,"0.027","0.026","0.022",,"5.2","2.5","7.6","4.8",,,"27","33","34","15","19","34","30 July 2022","17:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 05:00:00 PM","0.002","0.031","0.032","0.028","0.15","1.8","2.4","8.8","7.8","2","3","31","40","43","18","31","43","30 July 2022","17:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 05:00:00 PM","0.005","0.027","0.028","0.025","0.15","1.6","2.3","15.9","14.7","2","6","27","35",,"32","59","59","30 July 2022","17:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 04:00:00 PM",,,"0.032","0.025","0.19","4.7","-3.1","8.7","8","2",,,"40","38","17","32","38","30 July 2022","16:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 04:00:00 PM",,,"0.028","0.021","0.2","2.7","2.6","16","14.9","2",,,"35",,"32","60","60","30 July 2022","16:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 04:00:00 PM",,,"0.025","0.02",,"6.8","4.1","7.7","4.8",,,,"31","30","15","19","30","30 July 2022","16:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 03:00:00 PM","0.001","0.033","0.031","0.022","0.25","1","-6.7","8.6","8.3","3","1","33","39","34","17","33","34","30 July 2022","15:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 03:00:00 PM","0.002","0.03","0.028","0.019","0.26","2.6","0.6","16.1","14.9","3","3","30","35",,"32","59","59","30 July 2022","15:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 03:00:00 PM",,"0.027","0.024","0.019",,"7.5","5.4","7.6","4.8",,,"27","29","28","15","19","28","30 July 2022","15:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 02:00:00 PM",,"0.024","0.021","0.016",,"6.7","7.2","7.4","4.8",,,"24","27","25","15","19","25","30 July 2022","14:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 02:00:00 PM","0.002","0.028","0.026","0.015","0.33","3.4","2.1","16.1","15","4","3","28","32",,"32","60","60","30 July 2022","14:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 02:00:00 PM","0.002","0.032","0.029","0.018","0.31","1.1","-3.2","8.6","8.4","3","3","32","36","28","17","34","34","30 July 2022","14:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 01:00:00 PM",,"0.023","0.019","0.015",,"4","5","7.2","4.7",,,"23","24","22","14","19","22","30 July 2022","13:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 01:00:00 PM","0.003","0.027","0.022","0.012","0.41","3.9","2.4","16.1","14.9","5","4","27","28",,"32","60","60","30 July 2022","13:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 01:00:00 PM","0.002","0.031","0.025","0.014","0.35","3.9","-0.3","8.6","8.7","4","3","31","31","22","17","35","35","30 July 2022","13:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 12:00:00 PM","0.004","0.026","0.016","0.009","0.46","5.8","1.8","16.2","14.8","5","5","26","20",,"32","59","59","30 July 2022","12:00"
