"Name","GPS","DateTime","NO2","O3_1hr","O3_4hr","O3_8hr","CO","PM10 1 hr","PM2.5 1 hr","PM10","PM2.5","AQI_CO","AQI_NO2","AQI_O3_1hr","AQI_O3_4hr","AQI_O3_8hr","AQI_PM10","AQI_PM2.5","AQI_Site","Date","Time"
"Civic","(-35.285399, 149.131536)","10/04/2022 04:00:00 PM",,,"0.027","0.023",,"8.5","3.9","4.7","1.1",,,,"34","36","9","4","36","10 April 2022","16:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 03:00:00 PM",,"0.028","0.026","0.023",,"7.8","2.4","4.6","1",,,"28","33","35","9","4","35","10 April 2022","15:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 03:00:00 PM","0","0.025","0.027","0.023",,"4","1.1","5.1","-0.4",,"0","25","33","36","10","-2","36","10 April 2022","15:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 03:00:00 PM","0.001","0.027","0.027","0.023","0.12","5.8","0.6","5.7","3.1","1","1","27","33",,"11","12","36","10 April 2022","15:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 02:00:00 PM","0.001","0.029","0.026","0.022","0.12","5.7","-2.4","5.5","3.2","1","1","29","32",,"11","13","33","10 April 2022","14:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 02:00:00 PM",,"0.028","0.024","0.021",,"9","0.6","4.6","0.9",,,"28","30","33","9","4","33","10 April 2022","14:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 02:00:00 PM","0","0.028","0.026","0.022",,"7.6","-3.2","4.9","-0.3",,"0","28","32","33","10","-1","33","10 April 2022","14:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 01:00:00 PM","0","0.028","0.024","0.02",,"2.6","-8.5","4.7","0.1",,"0","28","30","31","9","0","31","10 April 2022","13:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 01:00:00 PM","0.001","0.027","0.023","0.02","0.12","5.2","3.4","5.4","3.1","1","1","27","29",,"11","12","31","10 April 2022","13:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 01:00:00 PM",,"0.025","0.022","0.02",,"7.6","0.3","4.4","0.9",,,"25","28","30","9","4","30","10 April 2022","13:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 12:00:00 PM","0.001","0.024","0.022","0.019","0.12","5.5","1.3","5.2","3.1","1","1","24","27",,"10","12","28","10 April 2022","12:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 12:00:00 PM","0","0.025","0.022","0.018",,"4.7","-8","4.7","0.7",,"0","25","27","28","9","3","28","10 April 2022","12:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 12:00:00 PM",,"0.023","0.021","0.018",,"6.2","0.9","4.3","0.9",,,"23","26","28","9","4","28","10 April 2022","12:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 11:00:00 AM","0.001","0.022","0.02","0.017","0.13","5.8","2.9","5.1","2.9","1","1","22","24",,"10","12","26","10 April 2022","11:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 11:00:00 AM","0.001","0.022","0.02","0.017",,"2.4","-0.1","4.7","1.1",,"1","22","25","25","9","5","25","10 April 2022","11:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 11:00:00 AM",,"0.021","0.019","0.017",,"7.6","0.9","4.1","1",,,"21","24","27","8","4","27","10 April 2022","11:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 10:00:00 AM",,"0.02","0.018","0.017",,"5.7","2.1","3.9","1",,,"20","23","26","8","4","26","10 April 2022","10:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 10:00:00 AM","0.001","0.02","0.018","0.015","0.13","6.3","4.3","5.1","2.7","1","1","20","22",,"10","11","24","10 April 2022","10:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 10:00:00 AM","0","0.02","0.018","0.016",,"3.3","-8","4.4","0.8",,"0","20","22","24","9","3","24","10 April 2022","10:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 09:00:00 AM","0.001","0.02","0.017","0.013","0.14","7.6","1.9","5","2.6","2","1","20","21",,"10","10","20","10 April 2022","09:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 09:00:00 AM",,"0.019","0.017","0.016",,"6.8","2.4","4","1",,,"19","21","25","8","4","25","10 April 2022","09:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 09:00:00 AM","0","0.02","0.016","0.015",,"5.6","-11.3","4.6","1",,"0","20","20","23","9","4","23","10 April 2022","09:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 08:00:00 AM","0.001","0.018","0.015","0.014",,"6.9","-4.7","4.6","1.4",,"1","18","18","22","9","5","22","10 April 2022","08:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 08:00:00 AM","0.002","0.016","0.016","0.012","0.15","7","4.3","5","2.6","2","3","16","19",,"10","10","19","10 April 2022","08:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 08:00:00 AM",,"0.017","0.016","0.016",,"6.1","1.3","4","1",,,"17","20","24","8","4","24","10 April 2022","08:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 07:00:00 AM","0.002","0.015","0.014","0.012","0.15","6.2","1","4.9","2.5","2","3","15","18",,"10","10","19","10 April 2022","07:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 07:00:00 AM","0.003","0.012","0.013","0.014",,"4.9","5.4","4.4","1.3",,"4","12","16","21","9","5","21","10 April 2022","07:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 07:00:00 AM",,"0.016","0.015","0.016",,"5.4","2.1","4","1",,,"16","19","24","8","4","24","10 April 2022","07:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 06:00:00 AM",,"0.016","0.015","0.016",,"6.9","2","3.9","0.9",,,"16","19","24","8","4","24","10 April 2022","06:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 06:00:00 AM","0.001","0.016","0.013","0.013","0.15","5.9","4.4","4.9","2.6","2","1","16","16",,"10","11","20","10 April 2022","06:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 06:00:00 AM","0.002","0.015","0.014","0.015",,"8","6.9","4.6","1.3",,"3","15","17","22","9","5","22","10 April 2022","06:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 05:00:00 AM",,"0.015","0.015","0.016",,"4.6","1.4","3.8","0.9",,,"15","19","25","8","4","25","10 April 2022","05:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 05:00:00 AM","0.001","0.015","0.01","0.013","0.15","5.3","0.2","4.8","2.5","2","1","15","12",,"10","10","20","10 April 2022","05:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 05:00:00 AM","0.001","0.013","0.013","0.015",,"8.4","8.6","4.4","1.4",,"1","13","17","23","9","6","23","10 April 2022","05:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 04:00:00 AM","0.002","0.012","0.014","0.015",,"8.4","5.5","4.2","1.1",,"3","12","18","24","8","5","24","10 April 2022","04:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 04:00:00 AM","0.002","0.01","0.009","0.013","0.15","6.5","2.4","4.8","2.5","2","3","10","11",,"10","10","21","10 April 2022","04:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 04:00:00 AM",,"0.014","0.016","0.016",,"3.9","0.6","3.7","0.8",,,"14","19","25","7","3","25","10 April 2022","04:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 03:00:00 AM",,"0.016","0.016","0.017",,"4.8","0.2","3.6","0.7",,,"16","20","26","7","3","26","10 April 2022","03:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 03:00:00 AM","0.002","0.014","0.015","0.016",,"6.1","-3","4.1","0.9",,"3","14","18","25","8","4","25","10 April 2022","03:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 03:00:00 AM","0.004","0.011","0.011","0.015","0.15","5.9","6.2","4.7","2.5","2","5","11","13",,"9","10","23","10 April 2022","03:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 02:00:00 AM","0.009","0.003","0.013","0.016","0.15","6.2","10.3","4.7","2.2","2","11","3","16",,"9","9","24","10 April 2022","02:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 02:00:00 AM",,"0.016","0.017","0.017",,"1.3","-1.7","3.6","0.5",,,"16","21","26","7","2","26","10 April 2022","02:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 02:00:00 AM","0.002","0.014","0.016","0.017",,"6.7","-15","4","1.2",,"3","14","19","26","8","5","26","10 April 2022","02:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 01:00:00 AM",,"0.016","0.017","0.018",,"5.9","-0.1","3.8","0.5",,,"16","21","27","8","2","27","10 April 2022","01:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 01:00:00 AM","0.004","0.011","0.016","0.018","0.14","8.1","2.6","4.5","1.7","2","5","11","20",,"9","7","28","10 April 2022","01:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 01:00:00 AM","0.002","0.016","0.016","0.018",,"6.3","-2.2","3.9","1.8",,"3","16","20","27","8","7","27","10 April 2022","01:00"
"Civic","(-35.285399, 149.131536)","10/04/2022 12:00:00 AM",,"0.017","0.017","0.018",,"7.9","0.2","3.9","0.5",,,"17","22","28","8","2","28","10 April 2022","00:00"
"Florey","(-35.220606, 149.0435)","10/04/2022 12:00:00 AM","0.001","0.018","0.018","0.019","0.14","8.3","1.9","4.4","1.6","2","1","18","23",,"9","6","30","10 April 2022","00:00"
"Monash","(-35.418302, 149.094018)","10/04/2022 12:00:00 AM","0.002","0.015","0.017","0.018",,"5","1.8","3.9","2",,"3","15","21","28","8","8","28","10 April 2022","00:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 11:00:00 PM","0.001","0.018","0.019","0.019","0.13","8.4","3.2","4.2","1.7","1","1","18","23",,"8","7","30","09 April 2022","23:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 11:00:00 PM","0.001","0.017","0.018","0.019",,"5.4","2.4","3.8","2.6",,"1","17","22","29","8","10","29","09 April 2022","23:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 11:00:00 PM",,"0.017","0.018","0.018",,"4.2","1.1","3.7","0.5",,,"17","22","28","7","2","28","09 April 2022","23:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 10:00:00 PM",,"0.017","0.018","0.019",,"3.8","0.6","3.7","0.5",,,"17","22","29","7","2","29","09 April 2022","22:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 10:00:00 PM","0.001","0.017","0.019","0.019",,"3","14.7","3.8","3.1",,"1","17","23","29","8","12","29","09 April 2022","22:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 10:00:00 PM","0.002","0.018","0.019","0.02","0.13","7.4","5.1","3.8","1.6","1","3","18","23",,"8","6","31","09 April 2022","22:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 09:00:00 PM","0.002","0.018","0.02","0.021","0.13","3.9","2.6","3.6","1.3","1","3","18","24",,"7","5","32","09 April 2022","21:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 09:00:00 PM",,"0.018","0.018","0.019",,"1.9","0.8","3.6","0.5",,,"18","23","29","7","2","29","09 April 2022","21:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 09:00:00 PM","0.001","0.018","0.019","0.02",,"2","8.5","3.7","2.5",,"1","18","24","30","7","10","30","09 April 2022","21:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 08:00:00 PM","0.001","0.019","0.02","0.02",,"1.3","4.4","3.6","2",,"1","19","24","31","7","8","31","09 April 2022","20:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 08:00:00 PM","0.002","0.02","0.021","0.022","0.13","3.3","3.8","3.5","1.4","1","3","20","26",,"7","6","33","09 April 2022","20:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 08:00:00 PM",,"0.018","0.019","0.019",,"2.9","0.2","3.6","0.5",,,"18","23","30","7","2","30","09 April 2022","20:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 07:00:00 PM","0.002","0.02","0.02","0.02",,"1.9","-5.8","3.6","2.2",,"3","20","25","31","7","9","31","09 April 2022","19:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 07:00:00 PM","0.002","0.019","0.021","0.022","0.13","3.1","0.7","3.5","1.3","1","3","19","26",,"7","5","34","09 April 2022","19:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 07:00:00 PM",,"0.018","0.019","0.019",,"-0.1","1.7","3.5","0.5",,,"18","24","30","7","2","30","09 April 2022","19:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 06:00:00 PM",,"0.019","0.02","0.02",,"-3.6","2.8","3.7","0.5",,,"19","25","30","7","2","30","09 April 2022","18:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 06:00:00 PM","0.001","0.02","0.02","0.02",,"3.5","-3.5","3.6","2.8",,"1","20","25","31","7","11","31","09 April 2022","18:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 06:00:00 PM","0.002","0.021","0.022","0.022","0.13","2.5","6.1","3.5","1.3","1","3","21","28",,"7","5","34","09 April 2022","18:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 05:00:00 PM",,"0.02","0.02","0.02",,"-2.1","0.4","3.8","0.4",,,"20","25","30","8","2","30","09 April 2022","17:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 05:00:00 PM","0.002","0.022","0.023","0.022","0.13","2.6","7","3.6","1.3","1","3","22","29",,"7","5","34","09 April 2022","17:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 05:00:00 PM","0.001","0.019","0.02","0.02",,"7.5","2.2","3.5","3.3",,"1","19","25","31","7","13","31","09 April 2022","17:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 04:00:00 PM",,,"0.02","0.02",,"6.9","2.2","3.2","3.5",,,,"25","30","6","14","30","09 April 2022","16:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 04:00:00 PM",,,"0.02","0.019",,"5.9","0.7","4.1","0.5",,,,"25","30","8","2","30","09 April 2022","16:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 04:00:00 PM",,,"0.023","0.022","0.13","3.5","0.2","3.6","1.2","1",,,"29",,"7","5","34","09 April 2022","16:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 03:00:00 PM","0.001","0.02","0.02","0.018",,"0.6","4.4","3","3.8",,"1","20","25","28","6","15","28","09 April 2022","15:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 03:00:00 PM",,"0.021","0.02","0.019",,"7","0.8","4","0.5",,,"21","25","30","8","2","30","09 April 2022","15:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 03:00:00 PM","0.001","0.024","0.023","0.021","0.13","1.8","2.9","3.6","1.3","1","1","24","28",,"7","5","32","09 April 2022","15:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 02:00:00 PM","0.001","0.021","0.02","0.017",,"1.5","5.5","3","3.3",,"1","21","25","26","6","13","26","09 April 2022","14:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 02:00:00 PM","0.001","0.023","0.022","0.02","0.13","2.2","-3.6","3.6","1.2","1","1","23","28",,"7","5","31","09 April 2022","14:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 02:00:00 PM",,"0.02","0.019","0.019",,"5.4","0.1","3.7","0.5",,,"20","24","29","7","2","29","09 April 2022","14:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 01:00:00 PM",,"0.019","0.019","0.018",,"4.9","0.2","3.5","0.6",,,"19","24","28","7","2","28","09 April 2022","13:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 01:00:00 PM","0.001","0.02","0.02","0.015",,"2.7","5.7","3","2.6",,"1","20","25","23","6","10","23","09 April 2022","13:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 01:00:00 PM","0.001","0.023","0.022","0.02","0.12","2.2","1.7","3.6","1.2","1","1","23","27",,"7","5","30","09 April 2022","13:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 12:00:00 PM","0.001","0.021","0.021","0.019","0.12","2.5","-1.6","3.6","1.2","1","1","21","26",,"7","5","29","09 April 2022","12:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 12:00:00 PM",,"0.019","0.019","0.018",,"1.8","2.3","3.6","0.6",,,"19","24","28","7","2","28","09 April 2022","12:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 12:00:00 PM","0.001","0.019","0.019","0.014",,"4.7","2.5","2.8","2.1",,"1","19","24","21","6","9","21","09 April 2022","12:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 11:00:00 AM","0.001","0.02","0.017","0.013",,"-3.9","-7.8","2.7","1.4",,"1","20","21","20","5","5","20","09 April 2022","11:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 11:00:00 AM",,"0.019","0.019","0.018",,"3.1","2.5","3.6","0.6",,,"19","23","28","7","3","28","09 April 2022","11:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 11:00:00 AM","0.001","0.021","0.019","0.018","0.12","4.6","-2.8","3.5","1.4","1","1","21","24",,"7","6","28","09 April 2022","11:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 10:00:00 AM",,"0.02","0.018","0.018",,"7.3","1.2","3.5","0.6",,,"20","23","28","7","3","28","09 April 2022","10:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 10:00:00 AM","0.001","0.021","0.018","0.018","0.12","5.2","2","3.3","1.7","1","1","21","23",,"7","7","28","09 April 2022","10:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 10:00:00 AM","0.001","0.021","0.013","0.013",,"6.4","-4.2","3","1.4",,"1","21","17","19","6","5","19","09 April 2022","10:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 09:00:00 AM","0.001","0.02","0.018","0.018","0.12","6.3","2.6","3.2","1.3","1","1","20","22",,"6","5","28","09 April 2022","09:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 09:00:00 AM",,"0.018","0.018","0.018",,"6.6","2.2","3.2","0.7",,,"18","22","27","6","3","27","09 April 2022","09:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 09:00:00 AM","0.002","0.017","0.01","0.013",,"5.1","-2.1","2.9","1.4",,"3","17","12","19","6","6","19","09 April 2022","09:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 08:00:00 AM","0.004","0.008","0.008","0.013",,"3.6","-6.5","2.8","1.8",,"5","8","10","20","6","7","20","09 April 2022","08:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 08:00:00 AM","0.003","0.015","0.017","0.018","0.11","5.1","1.7","3","1","1","4","15","21",,"6","4","28","09 April 2022","08:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 08:00:00 AM",,"0.018","0.017","0.018",,"5.4","0.6","3","0.7",,,"18","22","28","6","3","28","09 April 2022","08:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 07:00:00 AM","0.003","0.007","0.009","0.015",,"8.7","6.8","2.8","2.4",,"4","7","12","23","6","9","23","09 April 2022","07:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 07:00:00 AM","0.001","0.017","0.017","0.019","0.11","5.5","4","2.9","1.2","1","1","17","22",,"6","5","29","09 April 2022","07:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 07:00:00 AM",,"0.017","0.017","0.018",,"4.9","1.1","2.9","0.7",,,"17","21","28","6","3","28","09 April 2022","07:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 06:00:00 AM",,"0.017","0.018","0.019",,"4.5","1.7","2.8","0.8",,,"17","22","28","6","3","28","09 April 2022","06:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 06:00:00 AM","0.001","0.018","0.018","0.019","0.11","5.2","-0.1","2.7","1","1","1","18","23",,"5","4","30","09 April 2022","06:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 06:00:00 AM","0.002","0.007","0.012","0.017",,"3.7","9","2.5","2.7",,"3","7","15","25","5","11","25","09 April 2022","06:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 05:00:00 AM","0.001","0.017","0.019","0.02","0.11","4.9","1.8","2.6","1.1","1","1","17","23",,"5","5","30","09 April 2022","05:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 05:00:00 AM","0.002","0.009","0.015","0.018",,"4.6","1.9","2.6","2.7",,"3","9","19","28","5","11","28","09 April 2022","05:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 05:00:00 AM",,"0.017","0.018","0.019",,"1.7","-0.8","2.6","0.7",,,"17","23","29","5","3","29","09 April 2022","05:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 04:00:00 AM","0.001","0.017","0.019","0.02","0.11","4.6","2","2.6","0.9","1","1","17","24",,"5","4","30","09 April 2022","04:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 04:00:00 AM",,"0.017","0.019","0.019",,"1.8","-2.8","2.6","0.8",,,"17","23","29","5","3","29","09 April 2022","04:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 04:00:00 AM","0.001","0.014","0.018","0.02",,"5.1","-0.7","2.5","2.6",,"1","14","23","30","5","11","30","09 April 2022","04:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 03:00:00 AM","0","0.018","0.02","0.02",,"2.9","5.1","2.4","2.5",,"0","18","25","31","5","10","31","09 April 2022","03:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 03:00:00 AM","0","0.02","0.02","0.02","0.11","4.1","0","2.5","0.8","1","0","20","25",,"5","3","31","09 April 2022","03:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 03:00:00 AM",,"0.019","0.019","0.019",,"4.2","-3","2.6","0.9",,,"19","24","29","5","3","29","09 April 2022","03:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 02:00:00 AM","0","0.02","0.021","0.021",,"5.4","-2.2","2.4","2",,"0","20","26","32","5","8","32","09 April 2022","02:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 02:00:00 AM","0","0.02","0.021","0.02","0.11","3.6","-3","2.3","0.9","1","0","20","26",,"5","4","30","09 April 2022","02:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 02:00:00 AM",,"0.019","0.02","0.018",,"5","-2.1","2.6","1",,,"19","24","28","5","4","28","09 April 2022","02:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 01:00:00 AM",,"0.019","0.019","0.017",,"8.1","-1.3","2.4","1",,,"19","24","26","5","4","26","09 April 2022","01:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 01:00:00 AM","0","0.02","0.021","0.019","0.12","4","0.1","2.2","1.2","1","0","20","26",,"4","5","30","09 April 2022","01:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 01:00:00 AM","0","0.021","0.021","0.02",,"6.2","3.9","2.2","2",,"0","21","26","31","4","8","31","09 April 2022","01:00"
"Florey","(-35.220606, 149.0435)","09/04/2022 12:00:00 AM","0","0.021","0.02","0.019","0.12","3.5","3.5","2.1","1.3","1","0","21","25",,"4","5","29","09 April 2022","00:00"
"Monash","(-35.418302, 149.094018)","09/04/2022 12:00:00 AM","0","0.021","0.021","0.02",,"2.1","14.7","2.1","1.2",,"0","21","26","31","4","5","31","09 April 2022","00:00"
"Civic","(-35.285399, 149.131536)","09/04/2022 12:00:00 AM",,"0.02","0.019","0.016",,"4.3","0.4","2","1",,,"20","24","25","4","4","25","09 April 2022","00:00"
"Civic","(-35.285399, 149.131536)","08/04/2022 11:00:00 PM",,"0.02","0.018","0.016",,"3.1","1.4","1.9","1.1",,,"20","23","24","4","4","24","08 April 2022","23:00"
"Florey","(-35.220606, 149.0435)","08/04/2022 11:00:00 PM","0.001","0.021","0.02","0.019","0.12","0.5","2.4","2","1","1","1","21","25",,"4","4","29","08 April 2022","23:00"
"Monash","(-35.418302, 149.094018)","08/04/2022 11:00:00 PM","0.001","0.022","0.021","0.02",,"4.8","15","2.2","0.3",,"1","22","26","30","4","1","30","08 April 2022","23:00"
"Civic","(-35.285399, 149.131536)","08/04/2022 10:00:00 PM",,"0.018","0.017","0.015",,"1.9","1.4","1.9","1.1",,,"18","21","23","4","4","23","08 April 2022","22:00"
"Monash","(-35.418302, 149.094018)","08/04/2022 10:00:00 PM","0.001","0.02","0.02","0.019",,"1.3","-0.3","2.1","-0.3",,"1","20","25","30","4","-1","30","08 April 2022","22:00"
"Florey","(-35.220606, 149.0435)","08/04/2022 10:00:00 PM","0.001","0.02","0.019","0.018","0.12","0.6","-1.4","2.1","0.9","1","1","20","24",,"4","4","28","08 April 2022","22:00"
"Florey","(-35.220606, 149.0435)","08/04/2022 09:00:00 PM","0.001","0.019","0.018","0.017","0.12","2.8","4.6","2.3","1.1","1","1","19","23",,"5","5","27","08 April 2022","21:00"
"Civic","(-35.285399, 149.131536)","08/04/2022 09:00:00 PM",,"0.018","0.015","0.015",,"1.6","0.5","2","1.1",,,"18","18","22","4","4","22","08 April 2022","21:00"
"Monash","(-35.418302, 149.094018)","08/04/2022 09:00:00 PM","0.001","0.021","0.019","0.019",,"0.1","-1.4","2","-0.1",,"1","21","24","30","4","0","30","08 April 2022","21:00"
"Florey","(-35.220606, 149.0435)","08/04/2022 08:00:00 PM","0.002","0.019","0.018","0.017","0.12","3.7","-0.2","2.4","0.9","1","3","19","22",,"5","4","26","08 April 2022","20:00"
"Monash","(-35.418302, 149.094018)","08/04/2022 08:00:00 PM","0.001","0.02","0.019","0.019",,"0.2","9.3","2.1","0.6",,"1","20","23","30","4","2","30","08 April 2022","20:00"
"Civic","(-35.285399, 149.131536)","08/04/2022 08:00:00 PM",,"0.017","0.013","0.015",,"2.3","0.3","2.3","1.1",,,"17","17","22","5","4","22","08 April 2022","20:00"
"Civic","(-35.285399, 149.131536)","08/04/2022 07:00:00 PM",,"0.013","0.012","0.015",,"3","1.6","2.3","1.2",,,"13","15","22","5","5","22","08 April 2022","19:00"
"Monash","(-35.418302, 149.094018)","08/04/2022 07:00:00 PM","0.002","0.019","0.018","0.02",,"3.3","8.3","2.3","0.2",,"3","19","23","30","5","1","30","08 April 2022","19:00"
"Florey","(-35.220606, 149.0435)","08/04/2022 07:00:00 PM","0.002","0.018","0.017","0.017","0.12","3.3","2.4","2.4","0.9","1","3","18","21",,"5","4","26","08 April 2022","19:00"
"Civic","(-35.285399, 149.131536)","08/04/2022 06:00:00 PM",,"0.011","0.013","0.015",,"0.4","0.4","2.4","1.3",,,"11","16","23","5","5","23","08 April 2022","18:00"
"Florey","(-35.220606, 149.0435)","08/04/2022 06:00:00 PM","0.004","0.016","0.017","0.016","0.13","3.2","4.5","2.5","0.9","1","5","16","21",,"5","3","24","08 April 2022","18:00"
"Monash","(-35.418302, 149.094018)","08/04/2022 06:00:00 PM","0.003","0.017","0.018","0.019",,"0.1","8.4","2.3","-0.2",,"4","17","23","29","5","-1","29","08 April 2022","18:00"
"Civic","(-35.285399, 149.131536)","08/04/2022 05:00:00 PM",,"0.012","0.014","0.014",,"4.5","1.4","2.6","1.4",,,"12","18","22","5","5","22","08 April 2022","17:00"
"Monash","(-35.418302, 149.094018)","08/04/2022 05:00:00 PM","0.002","0.019","0.019","0.019",,"0.1","6.3","2.4","-0.1",,"3","19","24","29","5","-1","29","08 April 2022","17:00"
"Florey","(-35.220606, 149.0435)","08/04/2022 05:00:00 PM","0.003","0.017","0.017","0.015","0.14","4.2","4.8","2.5","0.9","2","4","17","21",,"5","3","22","08 April 2022","17:00"
"Florey","(-35.220606, 149.0435)","08/04/2022 04:00:00 PM",,,"0.017","0.013","0.15","2.2","2.8","2.4","0.6","2",,,"21",,"5","3","20","08 April 2022","16:00"
"Civic","(-35.285399, 149.131536)","08/04/2022 04:00:00 PM",,,"0.016","0.014",,"2.2","1.3","2.6","1.5",,,,"20","21","5","6","21","08 April 2022","16:00"
